service_id,date,exception_type
3,20140526,1
1,20140526,2
101,20140203,1
101,20140204,1
101,20140206,1
101,20140207,1
101,20140210,1
101,20140211,1
101,20140212,1
101,20140213,1
101,20140218,1
101,20140219,1
101,20140220,1
101,20140221,1
101,20140224,1
101,20140225,1
101,20140226,1
101,20140227,1
101,20140228,1
101,20140303,1
101,20140304,1
101,20140305,1
101,20140306,1
101,20140307,1
101,20140310,1
101,20140311,1
101,20140312,1
101,20140313,1
101,20140314,1
101,20140317,1
101,20140318,1
101,20140319,1
101,20140320,1
101,20140321,1
101,20140331,1
101,20140401,1
101,20140402,1
101,20140403,1
101,20140404,1
101,20140407,1
101,20140408,1
101,20140409,1
101,20140410,1
101,20140411,1
101,20140414,1
101,20140415,1
101,20140416,1
101,20140417,1
101,20140421,1
101,20140422,1
101,20140423,1
101,20140424,1
101,20140425,1
101,20140428,1
101,20140429,1
101,20140430,1
101,20140501,1
101,20140502,1
101,20140505,1
101,20140506,1
101,20140507,1
101,20140508,1
101,20140509,1
101,20140512,1
101,20140513,1
101,20140514,1
101,20140515,1
101,20140516,1
101,20140519,1
101,20140520,1
101,20140521,1
101,20140522,1
101,20140523,1
101,20140527,1
101,20140528,1
101,20140529,1
101,20140530,1
7201,20140204,1
7201,20140206,1
7201,20140211,1
7201,20140213,1
7201,20140218,1
7201,20140220,1
7201,20140225,1
7201,20140227,1
7201,20140304,1
7201,20140306,1
7201,20140311,1
7201,20140313,1
7201,20140318,1
7201,20140320,1
7201,20140325,1
7201,20140327,1
7201,20140401,1
7201,20140403,1
7201,20140408,1
7201,20140410,1
7201,20140415,1
7201,20140417,1
7201,20140422,1
7201,20140424,1
7201,20140429,1
7201,20140501,1
7201,20140506,1
7201,20140508,1
7201,20140513,1
7201,20140515,1
7201,20140520,1
7201,20140522,1
7201,20140527,1
7201,20140529,1
7301,20140203,1
7301,20140205,1
7301,20140210,1
7301,20140212,1
7301,20140217,1
7301,20140219,1
7301,20140224,1
7301,20140226,1
7301,20140303,1
7301,20140305,1
7301,20140310,1
7301,20140312,1
7301,20140317,1
7301,20140319,1
7301,20140324,1
7301,20140326,1
7301,20140331,1
7301,20140402,1
7301,20140407,1
7301,20140409,1
7301,20140414,1
7301,20140416,1
7301,20140421,1
7301,20140423,1
7301,20140428,1
7301,20140430,1
7301,20140505,1
7301,20140507,1
7301,20140512,1
7301,20140514,1
7301,20140519,1
7301,20140521,1
7301,20140528,1
