route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
3905,1,309342,COL GLENN/TO DREXEL,,0,142762,41336
3905,1,309343,COL GLENN/TO DREXEL,,0,142760,41336
3905,1,309351,COL GLENN/TO DREXEL,,0,142765,41340
3905,1,309369,COL GLENN/TO DREXEL,,0,142761,41336
3905,1,309352,COL GLENN/TO DREXEL,,0,142766,41340
3905,1,309353,DREXEL/VIA PENTAGON,,0,142762,41344
3905,1,309354,COL GLENN/TO DREXEL,,0,142760,41340
3905,1,309346,DOWNTOWN ,,0,142763,41338
3905,1,309355,COL GLENN/TO DREXEL,,0,142765,41340
3905,1,309356,DREXEL/VIA PENTAGON,,0,142761,41343
3905,1,309357,COL GLENN/TO DREXEL,,0,142758,41340
3905,1,309358,COL GLENN/TO DREXEL,,0,142766,41340
3905,1,309359,DREXEL/VIA PENTAGON,,0,142762,41343
3905,1,309360,COL GLENN/TO DREXEL,,0,142760,41340
3905,1,309361,DOWNTOWN/VIA PENTAGON,,0,142765,41345
3905,1,309362,COL GLENN/TO DREXEL,,0,142761,41340
3905,1,309347,COL GLENN/TO DREXEL,,0,142758,41342
3905,1,309348,DREXEL/VIA PENTAGON,,0,142762,41343
3905,1,309328,COL GLENN/TO DREXEL,,0,142760,41340
3905,1,309329,COL GLENN/TO DREXEL,,0,142761,41340
3905,1,309330,DREXEL/VIA PENTAGON,,0,142758,41343
3905,1,309331,COL GLENN/TO DREXEL,,0,142762,41340
3905,1,309332,DREXEL/VIA PENTAGON,,0,142760,41343
3905,1,309333,COL GLENN/TO DREXEL,,0,142761,41340
3905,1,309345,COL GLENN/TO DREXEL,,0,142757,41336
3905,1,309334,DREXEL/VIA PENTAGON,,0,142758,41343
3905,1,309335,COL GLENN/TO DREXEL,,0,142759,41337
3905,1,309336,COL GLENN/TO DREXEL,,0,142762,41340
3905,1,309350,COL GLENN/TO DREXEL,,0,142760,41340
3905,1,309363,DREXEL/VIA PENTAGON,,0,142764,41343
3905,1,309325,DOWNTOWN ,,0,142757,41338
3905,1,309364,COL GLENN/TO DREXEL,,0,142761,41340
3905,1,309365,DREXEL/VIA PENTAGON,,0,142758,41343
3905,1,309366,COL GLENN/TO DREXEL,,0,142759,41342
